ID,Title,Scope,Category,Date_Identified,Originator,Probability,Probability_Label,Impact,Impact_Label,Exposure,Severity,Risk_Owner,Response_Strategy,Status,Priority,Tags
RR-01,Hardcoded Default Password pada Create Pemilik,Resepsionis,Security,27/02/2026,System Analysis,4,High,4,High,16,HIGH,Backend Developer,Mitigate,Not Started,1,"authentication, password, resepsionis, critical"
RR-02,Weak Password Validation pada Login,Resepsionis,Security,27/02/2026,System Analysis,3,Medium-High,5,Critical,15,HIGH,Backend Developer,Mitigate,Not Started,3,"authentication, password, validation, resepsionis"
RR-03,Resepsionis Akses Data Pribadi Pemilik Secara Langsung,Resepsionis,Security,27/02/2026,System Analysis,3,Medium-High,4,High,12,MEDIUM,Backend Developer,Mitigate,Not Started,5,"privacy, data-protection, pii, resepsionis, audit"
RR-04,Race Condition pada Generate Nomor Urut Appointment,Resepsionis,Technical,27/02/2026,System Analysis,2,Low-Medium,3,Medium,6,MEDIUM,Backend Developer,Mitigate,Not Started,7,"concurrency, database, technical, resepsionis"
RR-05,Double Booking - Dokter Dapat Dijadwalkan Appointment Bersamaan,Resepsionis,Business,27/02/2026,System Analysis,4,High,3,Medium,12,MEDIUM,Backend Developer; Project Manager,Mitigate,Not Started,6,"scheduling, business-logic, appointment, resepsionis"
RR-06,Insufficient Input Validation pada Text Fields,Resepsionis,Security,27/02/2026,System Analysis,2,Low-Medium,4,High,8,MEDIUM,Backend Developer,Mitigate,Not Started,8,"input-validation, injection, security, resepsionis"
RR-07,No Audit Trail untuk Resepsionis Actions,Resepsionis,Governance,27/02/2026,System Analysis,3,Medium-High,3,Medium,9,MEDIUM,Backend Developer; Project Manager,Mitigate,Not Started,9,"audit, logging, governance, compliance"
RG-01,Weak Authentication - Account Lockout tidak Diimplementasikan,General,Security,27/02/2026,System Analysis,3,Medium-High,5,Critical,15,HIGH,Backend Developer,Mitigate,Not Started,2,"authentication, brute-force, security, critical"
RG-02,No Two-Factor Authentication (2FA),General,Security,27/02/2026,System Analysis,2,Low-Medium,5,Critical,10,HIGH,Backend Developer,Mitigate,Not Started,4,"authentication, 2fa, security, critical"
RG-03,Email Verification tidak Diimplementasikan,General,Security,27/02/2026,System Analysis,3,Medium-High,2,Low-Medium,6,MEDIUM,Backend Developer,Mitigate,Not Started,11,"email, verification, registration"
RG-04,Session Management Vulnerability,General,Security,27/02/2026,System Analysis,3,Medium-High,4,High,12,MEDIUM,Backend Developer,Mitigate,Not Started,10,"session, security, authentication"
RG-05,Password Reset Vulnerability,General,Security,27/02/2026,System Analysis,2,Low-Medium,5,Critical,10,HIGH,Backend Developer,Mitigate,Not Started,4,"password, reset, security, critical"
RG-06,Sensitive Data Stored in Plaintext,General,Security,27/02/2026,System Analysis,2,Low-Medium,5,Critical,10,HIGH,Backend Developer,Mitigate,Not Started,4,"encryption, pii, data-protection, critical"
RG-07,CSRF Protection Incomplete,General,Security,27/02/2026,System Analysis,2,Low-Medium,3,Medium,6,MEDIUM,Backend Developer,Mitigate,Not Started,12,"csrf, security"
RG-08,Database Credentials Exposed,General,Security,27/02/2026,System Analysis,2,Low-Medium,5,Critical,10,HIGH,DevOps; Backend Developer,Mitigate,Not Started,2,"secrets, infrastructure, critical"
RG-09,Insufficient Error Handling dan Information Disclosure,General,Security,27/02/2026,System Analysis,3,Medium-High,2,Low-Medium,6,MEDIUM,Backend Developer,Mitigate,Not Started,13,"error-handling, logging, information-disclosure"
RG-10,Cross-Site Scripting (XSS) Vulnerability,General,Security,27/02/2026,System Analysis,2,Low-Medium,4,High,8,MEDIUM,Frontend Developer; Backend Developer,Mitigate,Not Started,13,"xss, frontend, security"
RG-11,No Rate Limiting pada API/Forms,General,Technical,27/02/2026,System Analysis,3,Medium-High,3,Medium,9,MEDIUM,Backend Developer,Mitigate,Not Started,11,"rate-limiting, dos-protection, technical"
RG-12,Role-Based Access Control (RBAC) Single Point of Failure,General,Security,27/02/2026,System Analysis,1,Low,5,Critical,5,MEDIUM,Project Manager; Backend Developer,Mitigate,Not Started,14,"rbac, governance, access-control"
RG-13,Insufficient Logging and Monitoring,General,Governance,27/02/2026,System Analysis,3,Medium-High,3,Medium,9,MEDIUM,Backend Developer; DevOps,Mitigate,Not Started,9,"logging, monitoring, audit, governance"
RG-14,SQL Injection Risk di Beberapa Query,General,Security,27/02/2026,System Analysis,2,Low-Medium,5,Critical,10,HIGH,Backend Developer,Mitigate,Not Started,2,"sql-injection, database, security, critical"
RG-15,Soft Delete Data Tidak Dienkripsi atau Di-Archive,General,Security,27/02/2026,System Analysis,2,Low-Medium,3,Medium,6,MEDIUM,Backend Developer,Mitigate,Not Started,13,"data-retention, deletion, encryption, privacy"
